Title,year,Genre,Lead Cast,Director,Positive out of 10 Representation,Focus Area,Box Office Revenue (in M),community,Label
secrets   valley,18-02-2023,drama,olivia miller mia garcia,laura scott,9.5,disability,479.24,Asian,secrets   valley _Asian
secrets   valley,19-08-2006,comedy,emma johnson isabella jones,emily adams,5.63,gender,314.39,european,secrets   valley _european
lost   stars,28-07-2022,documentary,william hernandez emma johnson,laura scott,6.63,cultural,494.64,Asian,lost   stars _Asian
shadows rising,06-05-2008,drama,john brown james garcia,emily adams,8.06,race,489.51,european,shadows rising _european
whispers   wind,11-03-2000,documentary,noah hernandez mia brown,daniel ford,6.08,age,34.31,european,whispers   wind _european
final hour,10-10-2003,fantasy,mia johnson james smith,emily adams,5.81,gender,304.8,european,final hour _european
shadows rising,20-12-2002,documentary,sophia garcia mia smith,steven miller,5.52,gender,47.96,american,shadows rising _american
forgotten voyage,05-08-1996,fantasy,liam davis isabella martinez,laura scott,5.65,lgbtq,422.52,Asian,forgotten voyage _Asian
legends   fallen,24-01-2009,documentary,mia hernandez william hernandez,daniel ford,9.77,gender,339.63,european,legends   fallen _european
whispers   wind,07-02-2003,scifi,noah miller isabella jones,daniel ford,7.9,disability,44.28,european,whispers   wind _european
legends   fallen,01-10-2007,documentary,sophia williams isabella jones,emily adams,6.7,disability,18.26,european,legends   fallen _european
whispers   wind,12-08-2019,fantasy,john martinez noah williams,laura scott,7.62,cultural,339.69,Asian,whispers   wind _Asian
shadows rising,03-04-1990,scifi,olivia williams noah miller,steven miller,6.61,cultural,498.83,american,shadows rising _american
whispers   wind,02-07-2014,action,sophia williams emma jones,steven miller,9.66,lgbtq,422.8,american,whispers   wind _american
lost   stars,04-03-2002,scifi,emma johnson mia martinez,steven miller,6.92,cultural,477.16,american,lost   stars _american
echoes  eternity,12-11-1981,comedy,isabella brown william miller,daniel ford,9.46,disability,10.48,european,echoes  eternity _european
breaking chains,18-07-1996,action,liam martinez james jones,catherine hayes,9.04,gender,93.16,Asian,breaking chains _Asian
shadows rising,21-05-2008,fantasy,noah williams sophia hernandez,emily adams,5.93,age,96,european,shadows rising _european
final hour,10-08-1987,comedy,mia garcia william smith,steven miller,8.09,disability,333.14,american,final hour _american
shadows rising,25-02-2021,action,liam johnson mia martinez,steven miller,6.12,lgbtq,28.3,american,shadows rising _american
shadows rising,17-07-1992,thriller,emma brown william garcia,michael carter,8.48,lgbtq,381.73,american,shadows rising _american
golden horizon,01-03-1999,fantasy,isabella martinez emma smith,michael carter,9.73,race,389.88,american,golden horizon _american
secrets   valley,16-03-1993,comedy,emma jones sophia smith,michael carter,8.48,lgbtq,32.43,american,secrets   valley _american
whispers   wind,11-11-2012,comedy,mia hernandez isabella williams,michael carter,5.52,age,19.98,american,whispers   wind _american
final hour,27-03-2013,drama,william garcia mia miller,catherine hayes,7.78,cultural,138.4,Asian,final hour _Asian
final hour,23-06-1991,action,isabella hernandez john johnson,michael carter,5.44,lgbtq,206.19,american,final hour _american
final hour,11-05-1997,comedy,john hernandez emma johnson,emily adams,5.73,race,258.46,european,final hour _european
echoes  eternity,14-07-2010,drama,mia williams isabella hernandez,daniel ford,9.03,race,291.97,european,echoes  eternity _european
echoes  eternity,01-08-1989,drama,olivia smith john jones,catherine hayes,7.28,age,303.18,Asian,echoes  eternity _Asian
legends   fallen,14-09-2000,thriller,olivia garcia olivia johnson,catherine hayes,8.7,cultural,365.07,Asian,legends   fallen _Asian
forgotten voyage,23-11-1992,action,liam miller liam hernandez,catherine hayes,8.97,gender,298.07,Asian,forgotten voyage _Asian
shadows rising,25-04-2008,documentary,isabella garcia liam smith,daniel ford,9.61,gender,176.21,european,shadows rising _european
forgotten voyage,11-11-1987,action,liam martinez mia davis,emily adams,8.7,cultural,231.16,european,forgotten voyage _european
lost   stars,18-01-2019,scifi,william brown james smith,michael carter,6.27,lgbtq,388.38,american,lost   stars _american
lost   stars,13-09-1988,drama,mia miller mia brown,michael carter,7.87,cultural,400.35,american,lost   stars _american
forgotten voyage,11-07-2006,fantasy,james williams noah martinez,daniel ford,5.59,lgbtq,280.54,european,forgotten voyage _european
echoes  eternity,20-09-1990,documentary,james davis john miller,laura scott,5.8,cultural,79.9,Asian,echoes  eternity _Asian
breaking chains,12-09-1988,drama,james martinez mia garcia,catherine hayes,8.3,age,333.73,Asian,breaking chains _Asian
whispers   wind,21-07-1998,drama,emma johnson noah martinez,emily adams,8.73,gender,97.7,european,whispers   wind _european
shadows rising,27-05-2001,thriller,sophia davis james brown,emily adams,5.72,disability,240.27,european,shadows rising _european
secrets   valley,14-09-2023,scifi,emma garcia olivia johnson,daniel ford,6.24,lgbtq,150.26,european,secrets   valley _european
breaking chains,22-05-2018,fantasy,isabella miller john hernandez,emily adams,6.06,cultural,178.29,european,breaking chains _european
breaking chains,18-12-2013,comedy,emma williams john garcia,michael carter,9.48,race,296.99,american,breaking chains _american
final hour,15-11-2009,documentary,william miller sophia davis,laura scott,6.47,age,100.06,Asian,final hour _Asian
golden horizon,11-09-2016,scifi,james williams william martinez,emily adams,6.31,lgbtq,180.58,european,golden horizon _european
legends   fallen,15-01-1999,drama,james garcia emma smith,michael carter,6.28,age,23.93,american,legends   fallen _american
whispers   wind,17-06-2004,scifi,james garcia emma brown,emily adams,8.37,age,476.19,european,whispers   wind _european
whispers   wind,15-05-2000,drama,mia garcia isabella brown,catherine hayes,7.66,cultural,338.1,Asian,whispers   wind _Asian
golden horizon,05-02-1989,documentary,liam miller noah smith,michael carter,5.49,disability,89.26,american,golden horizon _american
secrets   valley,04-06-2022,action,noah johnson olivia miller,daniel ford,9.7,cultural,136.67,european,secrets   valley _european
breaking chains,27-04-2011,action,noah martinez emma williams,emily adams,9.25,disability,347.27,european,breaking chains _european
breaking chains,12-01-2007,action,james brown emma davis,laura scott,6.42,gender,276.54,Asian,breaking chains _Asian
breaking chains,09-03-1990,comedy,sophia miller john davis,daniel ford,9.26,disability,197.84,european,breaking chains _european
golden horizon,03-06-2013,comedy,emma johnson mia brown,laura scott,6.3,cultural,294.08,Asian,golden horizon _Asian
lost   stars,22-01-1985,scifi,liam williams william jones,catherine hayes,7,cultural,255.01,Asian,lost   stars _Asian
breaking chains,09-03-1992,scifi,william martinez olivia davis,michael carter,6.16,disability,41.35,american,breaking chains _american
golden horizon,27-12-1992,comedy,james jones isabella miller,steven miller,5.94,race,229.31,american,golden horizon _american
golden horizon,26-04-1997,thriller,liam hernandez mia garcia,emily adams,8.23,lgbtq,431.77,european,golden horizon _european
shadows rising,18-09-1980,thriller,sophia davis isabella brown,steven miller,8.44,race,86.37,american,shadows rising _american
whispers   wind,10-02-2008,fantasy,emma williams isabella davis,steven miller,6.56,gender,360.22,american,whispers   wind _american
breaking chains,08-11-1994,fantasy,sophia brown william davis,michael carter,7.95,lgbtq,374.73,american,breaking chains _american
echoes  eternity,10-12-2005,fantasy,james brown isabella miller,catherine hayes,7.3,age,241.53,Asian,echoes  eternity _Asian
legends   fallen,24-12-2008,action,mia jones john brown,emily adams,7.38,gender,131.57,european,legends   fallen _european
whispers   wind,02-07-2020,fantasy,mia martinez james smith,steven miller,7.5,gender,443.9,american,whispers   wind _american
breaking chains,03-08-1994,thriller,john brown john garcia,michael carter,9.64,age,112.21,american,breaking chains _american
final hour,20-12-2019,action,sophia williams mia miller,laura scott,6.48,age,278.2,Asian,final hour _Asian
final hour,06-11-2007,action,emma garcia sophia johnson,emily adams,6.76,race,198.44,european,final hour _european
echoes  eternity,13-01-1994,scifi,emma martinez noah davis,emily adams,7.35,disability,383.42,european,echoes  eternity _european
final hour,12-08-2019,documentary,james brown isabella smith,michael carter,7.23,race,205.85,american,final hour _american
golden horizon,03-05-2002,fantasy,james jones william williams,michael carter,6.41,disability,260.05,american,golden horizon _american
breaking chains,12-04-1988,action,james garcia emma jones,michael carter,7.74,race,433.91,american,breaking chains _american
shadows rising,08-01-2007,comedy,isabella jones john johnson,catherine hayes,6.54,age,291.37,Asian,shadows rising _Asian
shadows rising,15-05-1989,comedy,olivia johnson isabella martinez,laura scott,5.64,disability,415.1,Asian,shadows rising _Asian
secrets   valley,18-03-1989,comedy,william miller john brown,laura scott,6.03,disability,108.79,Asian,secrets   valley _Asian
legends   fallen,16-06-2016,thriller,john miller isabella martinez,laura scott,9.1,cultural,267.88,Asian,legends   fallen _Asian
final hour,05-10-1986,fantasy,james hernandez mia davis,catherine hayes,7.73,gender,477.06,Asian,final hour _Asian
forgotten voyage,09-05-1996,documentary,isabella davis john jones,emily adams,8.15,lgbtq,368.69,european,forgotten voyage _european
breaking chains,10-02-1982,scifi,sophia garcia mia jones,daniel ford,9.57,cultural,126.86,european,breaking chains _european
breaking chains,10-05-1996,scifi,isabella brown emma davis,emily adams,6.26,cultural,220.38,european,breaking chains _european
whispers   wind,18-09-1991,drama,liam brown sophia jones,michael carter,7.41,race,436.9,american,whispers   wind _american
golden horizon,07-11-1991,action,emma martinez james williams,michael carter,6.16,disability,65.08,american,golden horizon _american
echoes  eternity,06-03-2008,thriller,mia miller sophia davis,steven miller,6.49,gender,414.97,american,echoes  eternity _american
echoes  eternity,23-10-2012,thriller,william jones noah miller,laura scott,6.9,lgbtq,485.64,Asian,echoes  eternity _Asian
breaking chains,07-04-2020,fantasy,liam davis noah smith,daniel ford,6.68,gender,448.66,european,breaking chains _european
forgotten voyage,11-09-1987,drama,sophia garcia isabella hernandez,catherine hayes,6.68,gender,115.98,Asian,forgotten voyage _Asian
breaking chains,01-03-2023,comedy,isabella smith john davis,michael carter,5.54,lgbtq,417.77,american,breaking chains _american
echoes  eternity,19-12-1994,drama,emma miller john williams,emily adams,6.84,race,99.03,european,echoes  eternity _european
forgotten voyage,28-05-1984,thriller,john johnson sophia jones,catherine hayes,5.1,cultural,434.86,Asian,forgotten voyage _Asian
whispers   wind,25-06-1988,fantasy,william martinez william hernandez,catherine hayes,6.97,cultural,293.44,Asian,whispers   wind _Asian
forgotten voyage,13-11-2012,action,liam johnson john hernandez,steven miller,8.23,disability,409.17,american,forgotten voyage _american
whispers   wind,20-12-2001,drama,mia brown olivia williams,catherine hayes,6.73,lgbtq,310.04,Asian,whispers   wind _Asian
lost   stars,23-05-1980,comedy,sophia martinez noah smith,catherine hayes,7.53,cultural,259.97,Asian,lost   stars _Asian
final hour,08-03-1991,action,isabella smith mia johnson,michael carter,6.74,age,195.37,american,final hour _american
breaking chains,12-05-2013,thriller,sophia johnson william garcia,laura scott,8.43,gender,93.36,Asian,breaking chains _Asian
final hour,06-04-1986,thriller,william miller emma hernandez,emily adams,8.07,race,371.7,european,final hour _european
echoes  eternity,28-07-2007,comedy,john jones william garcia,michael carter,6.12,age,327.08,american,echoes  eternity _american
breaking chains,12-07-2022,action,sophia williams emma jones,steven miller,7.09,cultural,412.84,american,breaking chains _american
echoes  eternity,19-07-1997,scifi,noah brown william brown,steven miller,9.45,race,169.76,american,echoes  eternity _american
shadows rising,10-07-2021,action,mia davis john williams,emily adams,8.3,gender,469.53,european,shadows rising _european
lost   stars,14-03-1983,fantasy,liam smith isabella davis,emily adams,9.59,disability,185.33,european,lost   stars _european
secrets   valley,06-09-1985,drama,william garcia noah williams,laura scott,6.38,disability,435.07,Asian,secrets   valley _Asian
breaking chains,26-01-2009,documentary,emma williams john martinez,emily adams,6.41,cultural,149.98,european,breaking chains _european
final hour,19-06-2015,comedy,noah jones emma davis,catherine hayes,7.28,cultural,466.59,Asian,final hour _Asian
lost   stars,15-06-2003,thriller,emma johnson liam williams,michael carter,5.14,race,466.61,american,lost   stars _american
golden horizon,05-07-1995,action,olivia hernandez sophia williams,daniel ford,8.21,disability,254.33,european,golden horizon _european
whispers   wind,16-09-1986,documentary,mia hernandez sophia miller,catherine hayes,7.66,race,333.88,Asian,whispers   wind _Asian
lost   stars,28-10-1981,scifi,william smith john hernandez,emily adams,7.3,disability,109.22,european,lost   stars _european
whispers   wind,12-11-2005,comedy,william johnson liam martinez,laura scott,7.45,lgbtq,156.3,Asian,whispers   wind _Asian
echoes  eternity,21-12-2015,thriller,james garcia isabella hernandez,laura scott,8.8,gender,28.59,Asian,echoes  eternity _Asian
shadows rising,11-11-2011,drama,noah miller sophia miller,laura scott,5.53,disability,169.28,Asian,shadows rising _Asian
legends   fallen,16-05-1996,documentary,liam hernandez john miller,catherine hayes,8.76,age,370.82,Asian,legends   fallen _Asian
legends   fallen,22-12-2006,documentary,liam miller sophia williams,laura scott,7.84,cultural,85.21,Asian,legends   fallen _Asian
breaking chains,26-02-2000,comedy,emma smith james jones,emily adams,9.45,cultural,381.25,european,breaking chains _european
golden horizon,11-01-1991,documentary,william johnson james williams,steven miller,6.89,gender,449.38,american,golden horizon _american
secrets   valley,03-08-1995,action,james johnson john davis,daniel ford,9.11,age,241.15,european,secrets   valley _european
lost   stars,03-06-1994,fantasy,william martinez william brown,steven miller,6.36,cultural,28.97,american,lost   stars _american
forgotten voyage,17-11-2011,scifi,john martinez mia jones,michael carter,6.82,disability,71.8,american,forgotten voyage _american
forgotten voyage,14-10-2020,action,james martinez isabella williams,catherine hayes,9.54,cultural,300.89,Asian,forgotten voyage _Asian
final hour,20-12-2006,comedy,sophia jones mia garcia,emily adams,6.67,race,255.19,european,final hour _european
breaking chains,19-11-2019,scifi,liam garcia william williams,laura scott,6.75,lgbtq,304.44,Asian,breaking chains _Asian
golden horizon,08-11-2012,drama,william miller john williams,michael carter,5.9,cultural,93.92,american,golden horizon _american
whispers   wind,04-03-2000,fantasy,mia hernandez olivia jones,steven miller,5.14,disability,285.08,american,whispers   wind _american
shadows rising,06-10-1985,fantasy,olivia brown william smith,steven miller,7.46,gender,183.19,american,shadows rising _american
golden horizon,18-03-1992,comedy,mia miller william garcia,catherine hayes,7.56,cultural,183.65,Asian,golden horizon _Asian
final hour,03-06-2017,action,sophia miller noah miller,daniel ford,7.06,cultural,228.4,european,final hour _european
final hour,15-05-1983,comedy,isabella johnson liam miller,steven miller,9.46,age,206.8,american,final hour _american
forgotten voyage,09-01-2013,documentary,william brown william garcia,michael carter,5.54,disability,349.21,american,forgotten voyage _american
legends   fallen,27-05-1992,drama,james davis john davis,michael carter,5.69,disability,94.61,american,legends   fallen _american
golden horizon,16-02-1999,documentary,liam smith olivia jones,catherine hayes,7.13,race,445.32,Asian,golden horizon _Asian
breaking chains,13-01-2006,scifi,isabella miller emma williams,laura scott,5.58,gender,274.57,Asian,breaking chains _Asian
forgotten voyage,01-12-2023,fantasy,john martinez james johnson,emily adams,7.03,lgbtq,142.69,european,forgotten voyage _european
shadows rising,10-05-2020,documentary,james davis sophia brown,laura scott,7.43,lgbtq,193.83,Asian,shadows rising _Asian
forgotten voyage,12-02-1997,fantasy,liam brown john hernandez,laura scott,6.69,cultural,234.28,Asian,forgotten voyage _Asian
golden horizon,13-09-1986,drama,william jones mia miller,emily adams,9.75,race,70.02,european,golden horizon _european
breaking chains,02-10-1984,scifi,isabella hernandez liam johnson,emily adams,8.86,gender,10.83,european,breaking chains _european
forgotten voyage,21-06-1997,fantasy,noah miller emma jones,michael carter,8.49,age,388.27,american,forgotten voyage _american
legends   fallen,28-11-1999,drama,john brown noah jones,michael carter,8.22,gender,356.17,american,legends   fallen _american
final hour,21-09-2016,comedy,noah garcia liam brown,michael carter,5.82,lgbtq,486.18,american,final hour _american
lost   stars,01-05-2007,thriller,james davis liam jones,laura scott,8.13,gender,333.33,Asian,lost   stars _Asian
shadows rising,04-11-1982,comedy,sophia davis mia brown,emily adams,8.13,disability,120.46,european,shadows rising _european
forgotten voyage,20-03-2018,thriller,john williams william johnson,steven miller,5.15,race,443.41,american,forgotten voyage _american
legends   fallen,28-05-2001,thriller,james davis sophia johnson,steven miller,8.88,cultural,98.29,american,legends   fallen _american
shadows rising,10-05-1984,fantasy,sophia brown isabella williams,laura scott,5.8,race,124.59,Asian,shadows rising _Asian
whispers   wind,20-08-2012,documentary,olivia davis emma hernandez,emily adams,6.18,age,270.53,european,whispers   wind _european
shadows rising,18-10-1990,documentary,liam davis william williams,daniel ford,5.81,disability,203.04,european,shadows rising _european
final hour,08-06-1987,scifi,noah davis william davis,daniel ford,8.27,cultural,338.9,european,final hour _european
breaking chains,17-01-2005,comedy,emma smith sophia miller,steven miller,7.5,lgbtq,90.19,american,breaking chains _american
whispers   wind,02-10-1999,scifi,william smith noah hernandez,catherine hayes,5.79,cultural,339.78,Asian,whispers   wind _Asian
legends   fallen,20-03-2004,fantasy,olivia garcia john brown,laura scott,6.35,age,33.53,Asian,legends   fallen _Asian
legends   fallen,02-04-2014,scifi,emma hernandez isabella jones,michael carter,9.95,gender,290.42,american,legends   fallen _american
echoes  eternity,20-10-2016,comedy,noah miller mia smith,laura scott,9.19,gender,426.83,Asian,echoes  eternity _Asian
legends   fallen,24-04-1998,documentary,william brown sophia hernandez,daniel ford,6.09,lgbtq,176.93,european,legends   fallen _european
lost   stars,18-10-2016,thriller,william brown liam davis,daniel ford,6.61,gender,448.71,european,lost   stars _european
secrets   valley,04-05-1984,fantasy,isabella williams liam jones,steven miller,6.25,gender,108.37,american,secrets   valley _american
golden horizon,17-06-1987,scifi,william miller liam martinez,catherine hayes,5.19,disability,110.98,Asian,golden horizon _Asian
lost   stars,14-12-2014,thriller,olivia brown emma johnson,catherine hayes,6.39,cultural,248.43,Asian,lost   stars _Asian
final hour,10-11-2009,scifi,liam brown noah jones,michael carter,9.76,disability,104.21,american,final hour _american
lost   stars,01-06-2009,action,william williams noah johnson,laura scott,8.95,age,436.77,Asian,lost   stars _Asian
lost   stars,16-02-1999,documentary,sophia williams sophia williams,daniel ford,7.95,race,248.78,european,lost   stars _european
lost   stars,17-03-1998,scifi,liam johnson sophia davis,laura scott,7.54,age,325.24,Asian,lost   stars _Asian
whispers   wind,04-07-1985,documentary,emma johnson john jones,michael carter,5.82,cultural,224.13,american,whispers   wind _american
lost   stars,10-06-2008,drama,olivia williams william garcia,daniel ford,5.14,lgbtq,221,european,lost   stars _european
whispers   wind,28-12-2003,documentary,sophia johnson noah martinez,michael carter,8.24,gender,18.24,american,whispers   wind _american
breaking chains,07-11-1986,action,james davis olivia brown,laura scott,8.43,cultural,76.21,Asian,breaking chains _Asian
golden horizon,27-10-1996,scifi,olivia williams john garcia,daniel ford,9.57,lgbtq,388.03,european,golden horizon _european
lost   stars,04-10-2021,comedy,olivia garcia james smith,daniel ford,5.65,age,495.69,european,lost   stars _european
final hour,13-07-1986,action,emma smith olivia smith,daniel ford,8.3,cultural,194.61,european,final hour _european
legends   fallen,27-05-2007,drama,william garcia sophia davis,emily adams,5.34,cultural,208.3,european,legends   fallen _european
breaking chains,17-02-1991,documentary,isabella martinez william johnson,emily adams,8.94,cultural,383.76,european,breaking chains _european
breaking chains,08-10-1987,documentary,liam johnson sophia garcia,michael carter,6.65,race,364.73,american,breaking chains _american
echoes  eternity,15-01-2017,fantasy,isabella brown isabella garcia,daniel ford,7.12,lgbtq,202.71,european,echoes  eternity _european
breaking chains,10-07-1986,comedy,william hernandez liam brown,laura scott,9.42,lgbtq,105.99,Asian,breaking chains _Asian
secrets   valley,09-06-2023,drama,mia williams james martinez,michael carter,8.86,cultural,310.22,american,secrets   valley _american
golden horizon,27-04-2020,documentary,emma garcia mia jones,steven miller,5.96,disability,178.31,american,golden horizon _american
legends   fallen,28-12-2000,action,mia martinez john davis,laura scott,6.05,cultural,12.98,Asian,legends   fallen _Asian
forgotten voyage,06-01-2002,documentary,sophia davis john smith,daniel ford,8.6,cultural,448.88,european,forgotten voyage _european
final hour,14-07-1982,fantasy,emma hernandez emma garcia,daniel ford,8.49,disability,337.98,european,final hour _european
forgotten voyage,20-03-2000,action,noah garcia mia smith,emily adams,7.53,age,392.43,european,forgotten voyage _european
echoes  eternity,08-01-1984,scifi,olivia williams olivia williams,michael carter,6.53,disability,357.61,american,echoes  eternity _american
lost   stars,11-07-2016,comedy,sophia smith william hernandez,emily adams,5.04,lgbtq,156.55,european,lost   stars _european
shadows rising,18-08-2009,documentary,mia davis isabella smith,michael carter,6.99,age,383.2,american,shadows rising _american
lost   stars,23-02-1993,action,james martinez james jones,laura scott,7.65,lgbtq,171.12,Asian,lost   stars _Asian
whispers   wind,22-03-2005,scifi,john brown liam martinez,emily adams,6.8,disability,113.73,european,whispers   wind _european
secrets   valley,25-01-1996,scifi,olivia davis isabella davis,catherine hayes,5.56,race,337.98,Asian,secrets   valley _Asian
forgotten voyage,07-11-1987,documentary,liam smith william hernandez,michael carter,9.54,age,63.17,american,forgotten voyage _american
echoes  eternity,21-09-2021,fantasy,liam hernandez james davis,daniel ford,9.03,race,327.45,european,echoes  eternity _european
shadows rising,14-01-2021,documentary,noah miller john martinez,emily adams,6.54,race,86.96,european,shadows rising _european
echoes  eternity,18-04-1997,drama,olivia brown william martinez,michael carter,9.3,race,388.43,american,echoes  eternity _american
legends   fallen,01-10-2000,scifi,sophia hernandez noah miller,emily adams,5.75,age,470.1,european,legends   fallen _european
lost   stars,28-06-2009,documentary,mia martinez mia jones,laura scott,8.03,gender,167.1,Asian,lost   stars _Asian
legends   fallen,07-03-1990,drama,liam jones john martinez,laura scott,7.35,race,343.83,Asian,legends   fallen _Asian
final hour,21-07-2017,fantasy,mia hernandez james davis,steven miller,6.95,race,356.22,american,final hour _american
legends   fallen,28-08-1988,comedy,noah williams sophia brown,emily adams,7.16,cultural,373.6,european,legends   fallen _european
forgotten voyage,18-12-1992,drama,emma hernandez emma hernandez,michael carter,6.46,race,256.98,american,forgotten voyage _american
secrets   valley,26-10-2000,thriller,noah garcia john jones,steven miller,9.47,age,266.49,american,secrets   valley _american
final hour,12-03-2011,documentary,sophia garcia isabella hernandez,laura scott,7.48,age,359.57,Asian,final hour _Asian
echoes  eternity,20-08-1994,scifi,john jones emma brown,emily adams,8.64,cultural,399.99,european,echoes  eternity _european
lost   stars,27-02-1989,drama,john hernandez john garcia,steven miller,9.12,gender,129.36,american,lost   stars _american
legends   fallen,10-08-2021,thriller,john williams emma martinez,steven miller,7.33,disability,149.51,american,legends   fallen _american
breaking chains,11-08-1998,thriller,sophia garcia isabella martinez,emily adams,6.7,disability,145.8,european,breaking chains _european
legends   fallen,03-06-1987,fantasy,olivia johnson mia brown,steven miller,6.27,race,226.66,american,legends   fallen _american
lost   stars,09-10-1997,comedy,isabella williams james hernandez,michael carter,7.13,age,261.94,american,lost   stars _american
whispers   wind,20-07-1996,documentary,liam williams liam garcia,steven miller,6.41,lgbtq,87.44,american,whispers   wind _american
secrets   valley,01-01-1999,action,john smith sophia brown,laura scott,5.94,lgbtq,324.81,Asian,secrets   valley _Asian
secrets   valley,11-02-2011,thriller,mia davis sophia smith,laura scott,6.38,gender,140.05,Asian,secrets   valley _Asian
golden horizon,26-03-1994,documentary,john hernandez liam hernandez,catherine hayes,9.48,disability,406.29,Asian,golden horizon _Asian
whispers   wind,05-12-2000,documentary,noah jones sophia miller,emily adams,6.74,disability,108.26,european,whispers   wind _european
echoes  eternity,18-09-2018,drama,william smith noah hernandez,michael carter,7.92,lgbtq,240.88,american,echoes  eternity _american
echoes  eternity,13-10-2018,drama,sophia miller james martinez,michael carter,7.78,cultural,382.76,american,echoes  eternity _american
golden horizon,16-03-1997,thriller,john smith james garcia,michael carter,8.84,cultural,476.76,american,golden horizon _american
secrets   valley,13-08-2001,comedy,emma jones olivia williams,catherine hayes,6.01,cultural,478.6,Asian,secrets   valley _Asian
secrets   valley,11-10-2012,drama,james davis john smith,michael carter,9.65,age,257.04,american,secrets   valley _american
echoes  eternity,18-11-2020,drama,liam williams sophia jones,laura scott,8.1,disability,294.19,Asian,echoes  eternity _Asian
echoes  eternity,23-04-2021,comedy,sophia williams john jones,emily adams,9.54,race,108.68,european,echoes  eternity _european
legends   fallen,08-09-2012,comedy,sophia williams john hernandez,laura scott,5.26,age,233.78,Asian,legends   fallen _Asian
final hour,13-12-2004,fantasy,james davis emma smith,steven miller,8.67,lgbtq,42.15,american,final hour _american
breaking chains,13-09-2015,fantasy,noah johnson james davis,steven miller,8.72,age,15.32,american,breaking chains _american
legends   fallen,21-11-2015,scifi,sophia miller noah garcia,laura scott,7.42,cultural,447.98,Asian,legends   fallen _Asian
whispers   wind,01-11-2018,thriller,isabella davis john johnson,emily adams,7.7,age,483.34,european,whispers   wind _european
breaking chains,09-02-2017,drama,noah johnson mia brown,catherine hayes,7.68,gender,481.92,Asian,breaking chains _Asian
echoes  eternity,24-03-1982,documentary,olivia johnson james davis,laura scott,8.63,race,375.36,Asian,echoes  eternity _Asian
whispers   wind,13-04-2010,documentary,noah williams noah smith,steven miller,6.79,cultural,342.04,american,whispers   wind _american
breaking chains,21-05-2019,fantasy,john johnson noah hernandez,laura scott,7.32,age,416.91,Asian,breaking chains _Asian
whispers   wind,14-10-2015,drama,william martinez sophia williams,catherine hayes,9.72,age,68.14,Asian,whispers   wind _Asian
shadows rising,22-07-1994,action,mia smith isabella brown,catherine hayes,9.05,gender,18.99,Asian,shadows rising _Asian
golden horizon,08-12-2008,action,liam smith noah brown,daniel ford,7.57,age,86.67,european,golden horizon _european
echoes  eternity,25-05-1991,comedy,william hernandez james smith,daniel ford,8.13,disability,272.92,european,echoes  eternity _european
whispers   wind,13-12-1982,action,john garcia william miller,daniel ford,8.51,disability,264.52,european,whispers   wind _european
lost   stars,23-06-2015,comedy,isabella brown mia hernandez,daniel ford,9.61,age,100.11,european,lost   stars _european
golden horizon,24-04-2001,thriller,sophia davis noah hernandez,emily adams,6.46,lgbtq,180.22,european,golden horizon _european
lost   stars,21-09-1994,documentary,william miller mia garcia,catherine hayes,8.27,race,65.51,Asian,lost   stars _Asian
shadows rising,02-12-1996,action,liam johnson olivia hernandez,catherine hayes,7.99,lgbtq,152.56,Asian,shadows rising _Asian
lost   stars,12-08-2000,action,james brown john jones,steven miller,8.24,race,431.57,american,lost   stars _american
breaking chains,26-09-2018,fantasy,liam williams isabella martinez,daniel ford,7.53,cultural,428.42,european,breaking chains _european
forgotten voyage,28-06-2019,drama,noah hernandez liam jones,emily adams,7.56,age,311.64,european,forgotten voyage _european
whispers   wind,13-03-1987,drama,emma smith liam garcia,emily adams,5.71,race,380.68,european,whispers   wind _european
golden horizon,14-01-2003,scifi,mia johnson john jones,steven miller,8.29,disability,27.01,american,golden horizon _american
legends   fallen,26-03-2019,comedy,olivia brown isabella martinez,michael carter,6.59,age,450.7,american,legends   fallen _american
final hour,24-02-2011,action,mia hernandez william garcia,catherine hayes,9.13,cultural,459.27,Asian,final hour _Asian
echoes  eternity,15-10-2007,comedy,mia smith emma garcia,daniel ford,8.73,race,381.74,european,echoes  eternity _european
legends   fallen,02-03-1986,drama,james jones john jones,catherine hayes,7.59,lgbtq,467.23,Asian,legends   fallen _Asian
breaking chains,17-07-1981,thriller,olivia miller liam smith,steven miller,5.52,race,103.4,american,breaking chains _american
shadows rising,26-11-1980,fantasy,isabella garcia isabella smith,daniel ford,7.78,gender,96.69,european,shadows rising _european
lost   stars,15-12-2013,scifi,john johnson emma miller,catherine hayes,9.28,lgbtq,132.26,Asian,lost   stars _Asian
secrets   valley,26-09-1982,comedy,olivia hernandez james johnson,laura scott,5.94,lgbtq,383.37,Asian,secrets   valley _Asian
legends   fallen,09-09-2006,documentary,liam miller olivia garcia,catherine hayes,9.39,race,347.17,Asian,legends   fallen _Asian
shadows rising,08-11-2022,documentary,noah williams noah smith,steven miller,9.11,lgbtq,259.41,american,shadows rising _american
secrets   valley,08-05-2022,documentary,olivia brown noah miller,catherine hayes,8.47,gender,399.94,Asian,secrets   valley _Asian
whispers   wind,25-04-2022,drama,liam martinez isabella smith,michael carter,6.54,gender,466.39,american,whispers   wind _american
echoes  eternity,09-06-1985,drama,isabella martinez liam hernandez,steven miller,6.68,lgbtq,111.03,american,echoes  eternity _american
